action,stake,conviction,condition_id,outcome,asset,title,slug,current_price,avg_entry_price,total_current_value,supporting_traders,opposing_traders,supporting_score,opposing_score,traders,opposing_outcomes
COPY,2.21,88.33,0x2bd2d8cd8f86c337453b05332a803cf74559a70d0a35fa77f90871b38c34250f,Under,20497370664359548827731954664925850862665135284037561253149718814950759569153,Texas Rangers vs. Tampa Bay Rays: O/U 8.5,mlb-tex-tb-2026-07-28-total-8pt5,0.525,0.5492880606344518850018581617,3687.1117,2,0,141.99,0,"Trader03, Trader05",
COPY,1.63,65.06333333333333333333333333,0xbf1148bb5341a7d8a077acccfc5e2de6b98d386e26621b0ec233634ea9fea93b,Houston Astros,23337975190667432063297286005051597315733742665599294925561945178595807421047,Houston Astros vs. Los Angeles Angels,mlb-hou-laa-2026-07-28,0.495,0.4943659950805713830153884736,3401.2865,2,0,72.19,0,"Trader05, Trader06",
WAIT,0,66.33333333333333333333333333,0x0bbc63372aaf0867db23fc361b4e37f7d3125c7acef6cc8e2d5ce40f65b7e523,New York Yankees,96836228201794844622945838043146844817568481033220546312063092006402562136679,Boston Red Sox vs. New York Yankees,mlb-bos-nyy-2026-06-06,0.495,0.49,13719.217,1,0,100,0,Trader03,
CONFLICT,0,62.68603457318480290347619946,0x5428aa81f6377d5fe8c8df2ef7b861c9f1ef67b23b77e725acf499b44217f3e6,Cleveland Guardians,79422772753696672216257559819939055742589706555293578632445886552631401247023,Cleveland Guardians vs. Cincinnati Reds,mlb-cle-cin-2026-07-27,0.855,0.4378699461111173644686217113,260540.0374,2,2,158.89,141.99,"Trader03, Trader09",Cincinnati Reds
WAIT,0,53.91280933333333333333333333,0xb4528250bfbecacd1da31cd9dac28d32077c66cc921a8598da6b8e4265144507,Cleveland Guardians,68500114350586369971933549595667263003571670130412296751402878172629738718027,Detroit Tigers vs. Cleveland Guardians,mlb-det-cle-2026-06-14,0.435,0.4974566228942770620579675568,1384.9476,2,0,72.19,0,"Trader05, Trader06",
WAIT,0,51.96533033333333333333333333,0x1946f730f87a1baf8b13af26d653c9cb6b6bea53fae96adf0d4357c24b6b77ef,PortlandFire,60788956547051829717591335212718540750585049976464671952284540129221541809757,Spread: Las Vegas Aces (-11.5),wnba-por-las-2026-07-28-spread-home-11pt5,0.475,0.4834204212021818303619519088,689.1997,2,0,87.22,0,"Trader05, Trader15",
CONFLICT,0,49.16421367701950841608563983,0x5428aa81f6377d5fe8c8df2ef7b861c9f1ef67b23b77e725acf499b44217f3e6,Cincinnati Reds,29470070804130688459605616907450624647579759072633667708663049869978507039837,Cleveland Guardians vs. Cincinnati Reds,mlb-cle-cin-2026-07-27,0.145,0.3272940394683850181232380185,10351.0062,2,2,141.99,158.89,"Trader03, Trader05",Cleveland Guardians
WAIT,0,48.03868533333333333333333333,0xed516b5d73b73d74c950d19bf90ba4e20b678f45d68d193ad6445aa6fe4e37bc,Under,73794377933284184827978454479867637403162673364552601482185834500381299063525,Toronto Tempo vs. Minnesota Lynx: O/U 183.5,wnba-tor-min-2026-07-28-total-183pt5,0.425,0.4357748885672108122052943116,296.5352,2,0,87.22,0,"Trader05, Trader15",
WAIT,0,47.975478,0xfc3e26880e447253c41c9ecb25be760a25c67b12f83f3ca4ad81f6cdd2e95a36,GNK Dinamo Zagreb,69616497799480853446714531782721263468682662842377225158302741227475252938952,GNK Dinamo Zagreb vs. FC Thun: Team to Advance,ucl-din-thu-2026-07-28-team-to-advance,0.6899,0.8172305475769578519186575704,728.5478,2,0,74.07,0,"Trader05, Trader10",
WAIT,0,47.08382833333333333333333333,0x5ff870cc9ff9b631e41043b770fe2ec62a7e43e7aa9b9b3de1826309dfa86b49,Under,22438395370888284544107362595684008243804931474946351388335585150227349767449,Toronto Tempo vs. Minnesota Lynx: O/U 185.5,wnba-tor-min-2026-07-28-total-185pt5,0.485,0.4865561768457781148621395722,201.0495,2,0,87.22,0,"Trader05, Trader15",
