username,wallet,bot_verdict,bot_score,events_participated,copy_verdict
igot50k,0x60ec17443af511a21945f01430e61c803465f7b0,LIKELY_HUMAN_OR_LOW_SIGNAL,35.0,7,A
kutsumiakia,0xc3e550fae1c90b71675f3355e5864c240bea519d,LIKELY_HUMAN_OR_LOW_SIGNAL,15.0,7,A
bogemika,0x0ee52436cfd4c726385fec293d48d99d3b44e798,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,6,A
0x8cED225A64544C9c358754827Ee6BEd207850fee-1770046313442,0x8ced225a64544c9c358754827ee6bed207850fee,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,4,A
lhz6002,0xd3bc202269d0bbd1a158264be8f7e1e0f9e45bd2,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,4,A
PIKALEVSKIY-MONSTR,0x29295021c598f1ec3efb894e69820f9691521dd0,LIKELY_HUMAN_OR_LOW_SIGNAL,35.0,4,B
467j6yj,0xd487f513cfead22d76b6db4567c756b3cf25053e,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,4,B
bvrs,0x04f661add03f080541db83c0f72eb28c8351f24a,LIKELY_HUMAN_OR_LOW_SIGNAL,35.0,4,B
Gengfrauds,0x7a0face7188ae921d0fa1301e237280f73041305,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,3,A
0x60DD7009460D0bA0DF41840E5,0x60dd7009460d0bc6949ea6429fefba0df41840e5,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,3,A
swy01,0xe3d4dee2427b98042822543f8e1e8ab7bafb2bac,LIKELY_HUMAN_OR_LOW_SIGNAL,35.0,3,A
catbusiness,0xde24e2c62876aef30b38779cd99d43edaccb4ded,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,3,A
errormargin3,0x5a56fe0468618bbd44e0f278c080db59b30610f5,LIKELY_HUMAN_OR_LOW_SIGNAL,20.0,3,A
gxxyy,0x4aec70021891ea712aaf3e2dd76c30f6b09a4ce9,LIKELY_HUMAN_OR_LOW_SIGNAL,35.0,3,A
0x0B5a14B1c2F547cfd238B1123D228562F5721457-1770479786305,0x0b5a14b1c2f547cfd238b1123d228562f5721457,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,3,A
howtoplaydota,0xcf0aca0d7a395202aec661c3666be9cc098e320a,LIKELY_HUMAN_OR_LOW_SIGNAL,20.0,3,B
fushigidane,0xf3de1e536718fe7e0c20af7efcca860bb4216fe8,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,3,B
0x9Fb234c86BdDE457F6AFFE35de721a6D2389af7B-1759490103755,0x9fb234c86bdde457f6affe35de721a6d2389af7b,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,3,B
qwerqr1251251,0x2931cf68a383c734a286890bdcc86ac224347b81,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,3,B
LOL-eric,0xd9670ea74384c1e1b9dc1e4267ffadaf4cdd1409,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,3,B
LOBODAFL,0xef2684030d14a67c2a30a3e4fc00eed7a99505ba,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,A
HFFFDT,0xea580917456f63f7cdb7fdfb13f97a4457a90308,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,A
entropytime,0xc4ac7dee4d55d1698e88a8160d5c61ede96b9722,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,A
canoflanagan,0x21468ad63a833f5f9ea5c2835fb4e9dec57ad41b,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,A
junifund1,0x86e99faea12fccd8925de5d9f052471baf7a4cdf,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,A
0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,LIKELY_HUMAN_OR_LOW_SIGNAL,15.0,2,A
asuka7,0xa4697a5b38a3da3d7bb70f13eedfa5611bf10782,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,A
0xbFAB152aFA43741b41BE0f355F862be2630cf067-1779364275266,0xbfab152afa43741b41be0f355f862be2630cf067,LIKELY_HUMAN_OR_LOW_SIGNAL,35.0,2,A
fkgggg2mouzfuria,0x52ecea7b3159f09db589e4f4ee64872fd0bba6f3,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,A
yep.itsme,0xad2f5bf835fee93d6e7403a274cdc40f7a2dac6a,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,A
five5120,0xc1c7bb8761105f6d33fc8d71dec31b5688a0f0a7,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,B
0xC6f1E1e8ae814Ff217745da5dE7a0FbAC6095729-1783062979431,0xc6f1e1e8ae814ff217745da5de7a0fbac6095729,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,B
0x1610DB79f753a80207E1d66716be9E91E627AE49-1778875286261,0x1610db79f753a80207e1d66716be9e91e627ae49,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,B
LIANGGEGE,0x9279251b5c5e13535750a71beebbc4288e3e4748,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,B
NeverLosePatience,0x997329ff3e5ed79b12e845a2f036e34aa152bd7f,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,B
Aurora3979,0xce203519c2db8a050042ded95f9c6bde2ac80b7b,LIKELY_HUMAN_OR_LOW_SIGNAL,0.0,2,B
humkyakare,0x32d21c404498db353bd2bc47b5a35e7256908850,LIKELY_HUMAN_OR_LOW_SIGNAL,35.0,2,C
