username,wallet_address,events_participated,esports_trades,esports_markets,esports_volume,buy_volume,sell_volume,avg_trade_size,active_positions,recent_trades_14d,realized_pnl_esports,win_rate_esports,estimated_roi,copy_score,confidence_score,risk_score,verdict
LOBODAFL,0xef2684030d14a67c2a30a3e4fc00eed7a99505ba,2,836,312,759418.88782663397279,484210.48839665907179,275208.399429974901,908.3957988356865703229665072,500,549,1969691.6618329999984,1,0.5656034129242573254394962182,97.00,100,30,A
bogemika,0x0ee52436cfd4c726385fec293d48d99d3b44e798,6,809,207,396197.8922414238499115,187774.0207014087699115,208423.871540015080,489.7378148843310876532756489,500,420,214748.14980199999985,1,0.5334774996717882757783480637,97.00,100,30,A
HFFFDT,0xea580917456f63f7cdb7fdfb13f97a4457a90308,2,154,79,118957.181949920224,78466.543119920224,40490.63883,772.4492334410404155844155844,58,154,63231.564664,0.8913043478260869565217391304,0.5245354066961811903066317589,95.36956521739130434782608696,100,30,A
entropytime,0xc4ac7dee4d55d1698e88a8160d5c61ede96b9722,2,154,64,121626.5872083822474384,49041.3097082554594384,72585.277500126788,789.7830338206639444051948052,39,145,38408.221670,0.9354838709677419354838709677,0.4201964550149104016820609103,93.04208081526164911636111004,100,20,A
danielwolfmorales3pddb6dl6,0xf377b9fb12a4b7507a4f997461a73eb30b564159,2,229,58,659800.1580388574225489,318184.0990786768755489,341616.058960180547,2881.223397549595731654585153,164,204,165728.534421,0.875,0.4688702201441855001165029959,92.56851100720927500582514980,100,40,A
canoflanagan,0x21468ad63a833f5f9ea5c2835fb4e9dec57ad41b,2,891,250,799301.543897261672,668520.476477265193,130781.067419996479,897.0836631843565342312008979,340,346,1532981.23732800000001,0.7607758620689655172413793103,0.4685749229450886593029953982,91.84038407828891572377045956,100,30,A
suntori,0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,14,306,48,18434.1863028095513554,9907.0686928355783554,8527.117609973973,60.24243889807042926601307190,500,306,1617168.557444,1,0.5016858646431884350705297057,91.21709315140477567770000000,100,30,A
junifund1,0x86e99faea12fccd8925de5d9f052471baf7a4cdf,2,410,157,710508.4404064616017164,521228.9507162531567164,189279.489690208445,1732.947415625516101747317073,500,112,1154269.126636,1,0.4026825066795174341603977051,91.13412533397587170801988526,100,40,A
0x9e3ed7b661a903fc97afcf49e0f014ebe869f882-1783406009396,0x9e3ed7b661a903fc97afcf49e0f014ebe869f882,15,391,46,33345.3759355582048539,22242.2768855170868539,11103.099050041118,85.28229139528952648056265985,500,391,329363.530035,1,0.3654511790896277362852353809,90.27255895448138681426176904,100,30,A
igot50k,0x60ec17443af511a21945f01430e61c803465f7b0,7,871,185,173463.2797226309822174,173463.2797226309822174,0,199.1541673049724250486796785,500,871,190369.777796,0.9059829059829059829059829060,0.3477974900222071771924370925,87.97961809085394860321159821,100,30,A
MaoZeDonK,0x19ae9efef67c685a8581d631d99267b1ff10395c,4,765,338,268996.2468351797427983,212278.9448252207267983,56717.302009959016,351.6290808303003173833986928,89,360,157272.657890,0.6813186813186813186813186813,0.4146506201819590483863636109,87.95231122887817219953796076,100,30,A
0x8cED225A64544C9c358754827Ee6BEd207850fee-1770046313442,0x8ced225a64544c9c358754827ee6bed207850fee,4,562,195,229842.1600241771237788,118489.5916742140047788,111352.568349963119,408.9718149896390102825622776,127,358,100003.20475900000000,0.9801980198019801980198019802,0.3221983429727324572467182041,87.81288744566632583263293990,100,30,A
Gengfrauds,0x7a0face7188ae921d0fa1301e237280f73041305,3,744,408,1277321.1244657070383298,889473.8901060216779334,387847.2343596853603964,1716.829468367885804206720430,500,299,944063.4987339999987,0.9977220956719817767653758542,0.3324538271507537876492360087,87.58852279261741603394243825,100,40,A
0x60DD7009460D0bA0DF41840E5,0x60dd7009460d0bc6949ea6429fefba0df41840e5,3,946,298,702632.1730700797462462,353669.6876004688492462,348962.485469610897,742.7401406660462433892177590,14,261,567534.564515,0.8325892857142857142857142857,0.3376051185482019119612169832,87.36909521312438131234656345,100,20,A
0xF201A19b43471261A3c1Ba9247335d55270e527e-1763824114616,0xf201a19b43471261a3c1ba9247335d55270e527e,5,999,132,714108.122030034507,435563.103090308533,278545.018939725974,714.8229449750095165165165165,500,999,2320623.0524519999967,0.9128630705394190871369294606,0.2851052799747935218878735934,84.94821005683096240144762158,100,30,A
0x633e96a4b7ae543522358282eafa023fe61bd305-1783406206089,0x633e96a4b7ae543522358282eafa023fe61bd305,4,306,72,31147.5831941931113307,16086.4333941626653307,15061.149800030446,101.7894875627225860480392157,100,306,22316.068714,0.9767441860465116279069767442,0.2550282866900480615741632198,84.40257712520007749731281215,100,30,A
swy01,0xe3d4dee2427b98042822543f8e1e8ab7bafb2bac,3,590,153,535506.138070236174,306368.342049925405,229137.796020310769,907.6375221529426677966101695,75,378,349467.2818350000013,0.9943181818181818181818181818,0.2403374007372616607014547776,83.93164276413581030780001161,100,30,A
catbusiness,0xde24e2c62876aef30b38779cd99d43edaccb4ded,3,222,53,457910.7893263017502569,260457.9997663017502569,197452.78956,2062.661213181539415571621622,38,120,81145.118741,0.8113207547169811320754716981,0.2722608693351828332634521991,82.78285478751385864430468543,100,30,A
11zone,0xcf3a757bedfc4567bbfb6ec784f1bdd725f5fbfd,5,993,128,390890.7293909961981669,173811.2932905273001669,217079.436100468898,393.6462531631381653241691843,264,654,326924.192181,0.7777777777777777777777777778,0.2818016901123741868872881567,82.75675117228537601103107451,100,30,A
errormargin3,0x5a56fe0468618bbd44e0f278c080db59b30610f5,3,188,48,167218.2274673244982484,120502.5398776533852484,46715.687589671113,889.4586567410877566404255319,24,130,49656.856273,0.7307692307692307692307692308,0.2681323973446450326152490904,82.36815832877071316922399298,100,20,A
0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,2,199,101,2168609.260828702559,2168609.260828702559,0,10897.53397401358069849246231,500,199,1467585.479250,0.9,0.2472693771080967232504801703,81.86346885540483616252400852,100,40,A
asuka7,0xa4697a5b38a3da3d7bb70f13eedfa5611bf10782,2,985,323,1819557.3532028004077217,1105053.0565341365627217,714504.296668663845,1847.266348429238992610862944,262,429,504017.17273500000098,0.9510204081632653061224489796,0.2129140420967033309149959820,80.91100822728414613758653379,100,40,A
kutsumiakia,0xc3e550fae1c90b71675f3355e5864c240bea519d,7,939,240,430604.107210388439,256690.848560242475,173913.258650145964,458.5773239727246421725239617,76,913,103122.57343500000006,1,0.1623300645329691831903686890,80.11650322664845915951843445,100,30,A
gxxyy,0x4aec70021891ea712aaf3e2dd76c30f6b09a4ce9,3,995,182,2620705.1034014159001092,653004.9087218721051092,1967700.194679543795,2633.874475780317487546934673,115,323,638716.424762,0.8201438848920863309352517986,0.2316455823812146852045089709,79.88443739244202922425422552,100,40,A
0xbFAB152aFA43741b41BE0f355F862be2630cf067-1779364275266,0xbfab152afa43741b41be0f355f862be2630cf067,2,997,132,286290.9173782618440761,145753.6033886233140761,140537.313989638530,287.1523745017671455126379137,9,894,115003.726022,0.8418803418803418803418803419,0.1847065274276524045362142888,79.86353149958774843193891957,100,20,A
lhz6002,0xd3bc202269d0bbd1a158264be8f7e1e0f9e45bd2,4,327,160,397968.4933744244660926,219290.3741542092360926,178678.119220215230,1217.029031726068703647094801,67,292,50160.608048,0.8666666666666666666666666667,0.2079795993001253831232854569,79.39897996500626915616427284,100,40,A
ribalka,0xe59f2ab1b26b403f95b9df6e18ea66b395010d08,4,1000,139,505900.905340847611,349940.926260771116,155959.979080076495,505.900905340847611,69,517,149832.411744,0.7280701754385964912280701754,0.2247779772366171449249153644,79.15995149340980461466682085,100,30,A
fkgggg2mouzfuria,0x52ecea7b3159f09db589e4f4ee64872fd0bba6f3,2,993,278,5981173.017885675737,5667775.726045817721,313397.291839858016,6023.336372493127630412890232,500,411,3764876.4022039999848,0.6821052631578947368421052632,0.2400132417126075441761841683,78.23224103299879826144078737,100,40,A
0x0B5a14B1c2F547cfd238B1123D228562F5721457-1770479786305,0x0b5a14b1c2f547cfd238b1123d228562f5721457,3,958,349,439798.554181175885,332604.606440796532,107193.947740379353,459.0799104187639718162839248,32,632,77429.051078,0.8783505154639175257731958763,0.09543076008954191888701935908,75.94679573643585883094890610,100,20,A
yep.itsme,0xad2f5bf835fee93d6e7403a274cdc40f7a2dac6a,2,999,466,649840.1507255711230807,323688.7285955154470807,326151.422130055676,650.4906413669380611418418418,2,64,20626.99178900000000054,0.9959839357429718875502008032,0.05830448765835389654339532399,75.85498341906227314042277825,100,20,A
PIKALEVSKIY-MONSTR,0x29295021c598f1ec3efb894e69820f9691521dd0,4,359,70,391510.3831753955663015,281674.9985053955663015,109835.38467,1090.558170405001577441504178,34,274,56328.811945,0.6666666666666666666666666667,0.1548276105861073587708484247,74.74138052930536793854242124,100,30,B
Future-Tarot-Trader,0x10ef48324b3ebc06d9137794c70285e8e37a7d7b,5,1000,54,231526.8162381417719961,139179.8222682031849961,92346.993969938587,231.5268162381417719961,27,1000,78667.013533,0.7222222222222222222222222222,0.1096706881393388574974394565,74.31686774030027620820530616,100,20,B
howtoplaydota,0xcf0aca0d7a395202aec661c3666be9cc098e320a,3,1000,153,322792.062060279728,194061.606209691022,128730.455850588706,322.792062060279728,0,545,100931.49546400000003,0.7384305835010060362173038229,0.09697749965428012725599202442,73.92533373522909690605915856,100,20,B
five5120,0xc1c7bb8761105f6d33fc8d71dec31b5688a0f0a7,2,291,87,2259527.5625644753591233,1104773.2680744753591233,1154754.29449000,7764.699527712973742691752577,11,286,204031.953506,0.7792207792207792207792207792,0.1001533850201961981174559266,73.69598093932149821756110802,100,30,B
467j6yj,0xd487f513cfead22d76b6db4567c756b3cf25053e,4,989,431,4123654.396121866373,2009976.163401807313,2113678.232720059060,4169.519106291068122345803842,3,989,309433.81029799999976,0.9897119341563786008230452675,0.03429777464128299831463510638,73.56056774440982892807743433,100,30,B
fushigidane,0xf3de1e536718fe7e0c20af7efcca860bb4216fe8,3,656,379,874280.3087288082457196,321517.1111088672097196,552763.197619941036,1332.744373062207691645731707,24,121,42096.570059,0.9193954659949622166246851385,0.05296669806558816677325455245,73.43926689320384158803300470,100,30,B
,0x5fdbe6a0f738c5786e6bc7e7a103d7a731e87857,5,482,57,29905.3713529149818788,15531.1030029524758788,14374.268349962506,62.04433890646261800580912863,4,482,1132.158797,0.7727272727272727272727272727,0.04786641381478413732645730407,71.93691545810578871481377429,100,20,B
BetBadBet,0x2eeaf2013ffb52a3a3d62cf11ed5abb6ae791a4c,4,147,18,42351.9240865414920623,25221.1504664993110623,17130.773620042181,288.1083271193298779748299320,1,143,7411.355245,0.5882352941176470588235294118,0.1824340833352786087398012357,71.44523357852863631934300296,100,50,B
0xC6f1E1e8ae814Ff217745da5dE7a0FbAC6095729-1783062979431,0xc6f1e1e8ae814ff217745da5de7a0fbac6095729,2,425,186,579259.9407766547820117,296487.8710270814010117,282772.069749573381,1362.964566533305369439294118,37,184,10662.872969,0.7877094972067039106145251397,0.02945206630805996163233613686,70.28824577350355674083468394,100,30,B
0x1610DB79f753a80207E1d66716be9E91E627AE49-1778875286261,0x1610db79f753a80207e1d66716be9e91e627ae49,2,781,72,2192494.048970691226,1680181.704602431579,512312.344368259647,2807.290715711512453265044814,50,367,638663.074817,0.6090225563909774436090225564,0.08218922541214033305872298233,70.24479961647167830707148746,100,30,B
