username,wallet_address,verdict,copy_score,confidence_score,risk_score
Esports_2c3350,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,A,100,100,40.0
fkgggg2mouzfuria,0x52ecea7b3159f09db589e4f4ee64872fd0bba6f3,A,100,100,0.0
Esports_1610db,0x1610db79f753a80207e1d66716be9e91e627ae49,A,100,100,65.0
gxxyy,0x4aec70021891ea712aaf3e2dd76c30f6b09a4ce9,A,100,100,15.0
bvrs,0x04f661add03f080541db83c0f72eb28c8351f24a,A,85.33,100,0.0
canoflanagan,0x21468ad63a833f5f9ea5c2835fb4e9dec57ad41b,A,84.68,100,0.0
kutsumiakia,0xc3e550fae1c90b71675f3355e5864c240bea519d,A,82.23,100,0.0
0x60DD7009460D0bA0DF41840E5,0x60dd7009460d0bc6949ea6429fefba0df41840e5,A,76.49,100,0.0
NeverLosePatience,0x997329ff3e5ed79b12e845a2f036e34aa152bd7f,A,76.29,100,15.0
igot50k,0x60ec17443af511a21945f01430e61c803465f7b0,A,72.77,100,65.0
Esports_bfab15,0xbfab152afa43741b41be0f355f862be2630cf067,A,66.55,100,0.0
bogemika,0x0ee52436cfd4c726385fec293d48d99d3b44e798,A,59.01,100,15.0
Esports_0b5a14,0x0b5a14b1c2f547cfd238b1123d228562f5721457,A,58.14,100,0.0
howtoplaydota,0xcf0aca0d7a395202aec661c3666be9cc098e320a,A,46.94,100,0.0
entropytime,0xc4ac7dee4d55d1698e88a8160d5c61ede96b9722,A,45.0,100,0.0
yep.itsme,0xad2f5bf835fee93d6e7403a274cdc40f7a2dac6a,A,36.64,91.4,0.0
