condition_id,asset,title,outcome,traders,entry_supporting_traders,supporting_traders,date_first_seen,entry_price,current_price,consensus_active,status,exit_price,pct_return,last_updated
0x9c194537a7fb54bf7240f483d05b8f8f1cfb0e8f5f8cd72c237d3dcd87ef41c3,26159590766346432361936051414390584319604384060950546626001036526409809819459,Washington Nationals vs. Colorado Rockies: O/U 11.5,Over,"Trader03, Trader10, Trader14",,3,2026-07-22 20:42 UTC,0.4873299398552670348804594158,0.105,yes,OPEN,,,2026-07-22 21:54 UTC
0x37818f22a6463f94cc16070ab06f3acd4753c74c0182277d21fa0d6367355a60,54981923263668684426492587430478706360307742779954095969557473090771479374129,St. Louis Cardinals vs. Los Angeles Angels,St. Louis Cardinals,"Trader05, Trader06, Trader09",,3,2026-07-22 20:42 UTC,0.4473738169959275981022771036,0.665,yes,OPEN,,,2026-07-22 21:54 UTC
0x2897372c1e1aadfcc6c8b781b3a026f1d856605d00fa63d3a35440b508d24401,42557077158611184354808963863799130645254896324342812671445037456281509554061,Connecticut Sun vs. Indiana Fever,Indiana Fever,"Trader05, Trader15",,2,2026-07-22 20:42 UTC,0.81,0.805,yes,OPEN,,,2026-07-22 21:54 UTC
0x65e439ac10b93e7b3d44a164ae64e19d5c1b2c40cde2c6b01edaf9f9405aa22c,11190033296411034680779208660271974331408425903210763359596435127425420291002,Spread: New York Liberty (-8.5),Chicago Sky,"Trader05, Trader10, Trader15",,3,2026-07-22 20:42 UTC,0.5105195771389203960584310817,0.535,yes,OPEN,,,2026-07-22 21:54 UTC
0xc0df3517400ed1e8f875b91b8b50720bcec071d7d7f9d72835e346b3f34df27e,101831920779759249507718947232320519206599507850318801838846225483126007150933,Chicago White Sox vs. Texas Rangers,Chicago White Sox,"Trader05, Trader10",,2,2026-07-22 20:42 UTC,0.5139357429718875502008032129,0.535,yes,OPEN,,,2026-07-22 21:54 UTC
0xf18688eccdccfd8f324f4d1e766af47a92c17de28ff579a93c94202f48ab3431,113417543989770716017777830739023761466989555385518159339747815310347025556934,San Diego Padres vs. Atlanta Braves,Atlanta Braves,"Trader05, Trader06",,3,2026-07-22 20:42 UTC,0.51,0.505,yes,OPEN,,,2026-07-22 21:54 UTC
0x6825d9518cb15d2b3f2b1472634e454c7eede410f7b6a0cab4c63260a88b8c5e,50420161386818356202243161206625482469390664232665776094095952156156775506965,Cincinnati Reds vs. Seattle Mariners,Seattle Mariners,"Trader03, Trader09, Trader10",,3,2026-07-22 21:08 UTC,0.4989608329418519678463305147,0.155,yes,OPEN,,,2026-07-22 21:54 UTC
0xf8aed03f04ada65ed26a78a6bdd2e8397b08d0733fbc81c56576e68a2ab05ad2,73621419357007481397854429277814112283105245954837997787778453001070680253017,Tampa Bay Rays vs. Toronto Blue Jays,Tampa Bay Rays,"Trader05, Trader09",,3,2026-07-22 21:08 UTC,0.49,0.485,yes,OPEN,,,2026-07-22 21:54 UTC
0x9f0d7a8592ed8426613b0fec075acf1f3bb2d08ce52952884f579e6db8c6811d,33250452379369195443731283002949144139819771638256777075201812128551370393657,Chicago Sky vs. New York Liberty,Chicago Sky,"Trader03, Trader05",,2,2026-07-22 21:17 UTC,0.2784278456553277973728466054,0.245,yes,OPEN,,,2026-07-22 21:54 UTC
0x1074bc3f6edcebcda30e3d55bc8f994e64f483008b806934c6fcc9ee88f1fc20,51680598895729991600102254285762358998557997936143387602237896557325341775306,Spread: New York Liberty (-9.5),New York Liberty,"Trader05, Trader15",,2,2026-07-22 21:17 UTC,0.4315220865730928587116380873,0.425,yes,OPEN,,,2026-07-22 21:54 UTC
0x33c07c35c757b0c163d0f9f4a4b99a28c65c36eabacd2f77ae87ed2e46f3a531,70289387270124395948265220081839233265464135014344518257141392594041844386245,Miami Marlins vs. Houston Astros,Miami Marlins,"Trader05, Trader10, Trader14",,3,2026-07-22 21:31 UTC,0.48,0.475,yes,OPEN,,,2026-07-22 21:54 UTC
0xfdd3119f3fdd3da61c2e3368ea21512dbe2660814d7b802433a65fb6635efcb2,59862948090398920879159368113593468031988704342460561018628480476570673643412,Minnesota Lynx vs. Seattle Storm,Minnesota Lynx,"Trader05, Trader10, Trader15",,0,2026-07-22 20:42 UTC,0.7822302928053278288118405173,0.9995,no,CLOSED,0.9995,27.78,2026-07-22 21:54 UTC
