label,wallet_address,flag,pnl_7d,win_rate_7d,resolved_7d,wins_7d,losses_7d,pnl_30d,win_rate_30d,resolved_30d,wins_30d,losses_30d
Trader22,0x9db82de5a71ae539bc82f4d9ac3a007c7d742eff,DECLINING,-2074.850252,40.0,5,2,3,53822.088593,40.0,25,10,15
Trader21,0xe548376f231af12b4d56aff55a7503a88892a9fe,LOW_SAMPLE,-1057.101170,66.66666666666666666666666667,3,2,1,83832.107749,72.22222222222222222222222222,18,13,5
Trader19,0xd1a850ad821b49e585edb0af3f2c7e6cb07a6427,LOW_SAMPLE,266.516008,75.00,4,3,1,8667.876803,66.66666666666666666666666667,36,24,12
Trader11,0xf10299cf1fff507cff45e1a906800e5b44bf1348,OK,2573.634192,100,11,11,0,9501.611071,94.23076923076923076923076923,52,49,3
Trader17,0x10ff6cd4b1b5669d4ca87faebae0c869ad315088,OK,2840.805304,60.0,5,3,2,32259.474083,47.72727272727272727272727273,44,21,23
Trader16,0x191f77486cb1c5af42e54734621804936a204a8d,OK,4128.740851,60.0,35,21,14,62741.409723,63.63636363636363636363636364,143,91,52
Trader10,0x5e3040eb55cb0f4f86eb0af40cb84c9d3585acbf,OK,7101.326799,100,21,21,0,24205.722920,100,68,68,0
Trader06,0xbc3107551d71e0fe3821b4ec4bb2767d313e971f,OK,9747.930979,88.00,25,22,3,28598.868712,82.25806451612903225806451613,62,51,11
Trader20,0x60ec17443af511a21945f01430e61c803465f7b0,OK,10233.362014,100,30,30,0,70382.264373,99.600,250,249,1
Trader09,0xccd81fbd3395dc43a0531f8484b21c2462daf4de,OK,29161.225809,66.66666666666666666666666667,75,50,25,86247.317937,55.06329113924050632911392405,158,87,71
Trader04,0x85bbb00a84f100a74ec6a479ce6f8f45b04c9ada,LOW_SAMPLE,48921.652587,100,3,3,0,136380.724715,75.00,16,12,4
Trader15,0x4df332e27f9ee3224f52ce30e3ce15c1075e788f,OK,53397.017552,100,19,19,0,168216.080034,100,53,53,0
Trader23,0x224f7ef690d952cf551a471846d5afb4892e514a,OK,61904.198110,76.00,175,133,42,111215.825107,76.36815920398009950248756219,402,307,95
Trader02,0x1610db79f753a80207e1d66716be9e91e627ae49,LOW_SAMPLE,76550.090749,100,4,4,0,139617.117239,61.53846153846153846153846154,13,8,5
Trader01,0xdb859a551fcf56e49416160911476bea7307152f,OK,136573.451358,100,7,7,0,353319.599799,100,21,21,0
Trader05,0x6d3c5bd13984b2de47c3a88ddc455309aab3d294,OK,200133.713493,98.70967741935483870967741935,155,153,2,632483.658115,99.36170212765957446808510638,470,467,3
RN1_possible_bot,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,OK,787491.070770,100,53,53,0,2578863.175738,100,197,197,0
Trader03,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,OK,3987182.184258,81.73913043478260869565217391,115,94,21,7661624.319775,76.21483375959079283887468031,391,298,93
