label,wallet,username,status,verdict,notes
crckr,0x2b3d1e9bdf941d435dc91a8b974b86f7064c8db7,crckr,approved,WATCHLIST_STRONG,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $16,248 volumen no-cripto/430 trades/263 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
Trader03,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465,approved,WATCHLIST,"whale/fund - $69M lifetime volume, buy-and-hold (no HFT). Use as directional signal, NOT copy position size 1:1 (scale down heavily). Also has large active losing positions - not infallible."
0xE30E7459,0xe30e74595517de48f1fb19f4553dd3d9f1e96b87,0xE30E74595517de48f1FB19f4553dd3d9F1E96B87-1772612985000,approved,WATCHLIST,"ampliacion no-cripto 2026-08-16 - categoria real: mixto (rank #2 leaderboard, sin username) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $6,150,727 volumen no-cripto/498 trades/62 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
Trader26,0xa71093cafc0c099b4ccab24c3cb8018d817923c4,Talvez10,approved,WATCHLIST,"Talvez10 - WATCHLIST_STRONG, $14.3M sports volume (94.8% share), POSSIBLE_BOT score 40 (buy-only + high market churn) - large positions ($10K-70K each), use with caution similar to whale/fund pattern, added 2026-08-01"
Trader15,0x4df332e27f9ee3224f52ce30e3ce15c1075e788f,SunlineTicker,approved,WATCHLIST,manual approved
Trader06,0xbc3107551d71e0fe3821b4ec4bb2767d313e971f,TCA,approved,WATCHLIST,manual approved
Trader10,0x5e3040eb55cb0f4f86eb0af40cb84c9d3585acbf,slimjoe,approved,WATCHLIST,manual approved
Trader17,0x10ff6cd4b1b5669d4ca87faebae0c869ad315088,02-,approved,WATCHLIST,manual approved
Trader20,0x60ec17443af511a21945f01430e61c803465f7b0,igot50k,approved,WATCHLIST,manual approved
ndb1,0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227,ndb1,approved,WATCHLIST,"ampliacion no-cripto 2026-08-16 - categoria real: deportes (NFL/tenis) (vertical queda 'sports' por simplicidad, no describe 100% el contenido) - discovery: leaderboard OVERALL mensual + filtro exclude-crypto+esports, $6,175,059 volumen no-cripto/488 trades/209 mercados, bot_score 0/100 (bot-detection generico, limpio), 14d activo. Ver atlantis-check/discover_noncrypto.py en el chat de origen."
