label,wallet,username,status,verdict,notes
Esports_2c3350,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 15.0), 2 eventos de 20 escaneados, copy_verdict=A; net_esports=$2,829,000 (realizado+no-realizado)"
fkgggg2mouzfuria,0x52ecea7b3159f09db589e4f4ee64872fd0bba6f3,fkigedgjdgwbg,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 0.0), 2 eventos de 20 escaneados, copy_verdict=A; net_esports=$3,117,801 (realizado+no-realizado)"
Esports_1610db,0x1610db79f753a80207e1d66716be9e91e627ae49,0x1610DB79f753a80207E1d66716be9E91E627AE49-1778875286261,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 0.0), 2 eventos de 20 escaneados, copy_verdict=B; net_esports=$332,493 (realizado+no-realizado)"
gxxyy,0x4aec70021891ea712aaf3e2dd76c30f6b09a4ce9,gxxyy,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 35.0), 3 eventos de 20 escaneados, copy_verdict=A; net_esports=$122,646 (realizado+no-realizado)"
bvrs,0x04f661add03f080541db83c0f72eb28c8351f24a,bvrs,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 35.0), 4 eventos de 20 escaneados, copy_verdict=B; net_esports=$18,700 (realizado+no-realizado)"
canoflanagan,0x21468ad63a833f5f9ea5c2835fb4e9dec57ad41b,canoflanagan,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 0.0), 2 eventos de 20 escaneados, copy_verdict=A; net_esports=$33,885 (realizado+no-realizado)"
kutsumiakia,0xc3e550fae1c90b71675f3355e5864c240bea519d,kutsumiakia,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 15.0), 7 eventos de 20 escaneados, copy_verdict=A; net_esports=$89,057 (realizado+no-realizado)"
0x60DD7009460D0bA0DF41840E5,0x60dd7009460d0bc6949ea6429fefba0df41840e5,FarmerABC,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 0.0), 3 eventos de 20 escaneados, copy_verdict=A; net_esports=$71,345 (realizado+no-realizado)"
NeverLosePatience,0x997329ff3e5ed79b12e845a2f036e34aa152bd7f,yL1018,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 0.0), 2 eventos de 20 escaneados, copy_verdict=B; net_esports=$17,224 (realizado+no-realizado)"
igot50k,0x60ec17443af511a21945f01430e61c803465f7b0,igot50k,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 35.0), 7 eventos de 20 escaneados, copy_verdict=A; net_esports=$160,585 (realizado+no-realizado)"
Esports_bfab15,0xbfab152afa43741b41be0f355f862be2630cf067,0xbFAB152aFA43741b41BE0f355F862be2630cf067-1779364275266,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 35.0), 2 eventos de 20 escaneados, copy_verdict=A; net_esports=$19,433 (realizado+no-realizado)"
bogemika,0x0ee52436cfd4c726385fec293d48d99d3b44e798,bogemika,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 0.0), 6 eventos de 20 escaneados, copy_verdict=A; net_esports=$53,804 (realizado+no-realizado)"
Esports_0b5a14,0x0b5a14b1c2f547cfd238b1123d228562f5721457,0x0B5a14B1c2F547cfd238B1123D228562F5721457-1770479786305,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 0.0), 3 eventos de 20 escaneados, copy_verdict=A; net_esports=$78,077 (realizado+no-realizado)"
howtoplaydota,0xcf0aca0d7a395202aec661c3666be9cc098e320a,howtoplaydota,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 20.0), 3 eventos de 20 escaneados, copy_verdict=B; net_esports=$127,657 (realizado+no-realizado)"
entropytime,0xc4ac7dee4d55d1698e88a8160d5c61ede96b9722,entropytime,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 0.0), 2 eventos de 20 escaneados, copy_verdict=A; net_esports=$26,196 (realizado+no-realizado)"
yep.itsme,0xad2f5bf835fee93d6e7403a274cdc40f7a2dac6a,yep.itsme,paper_only,WATCHLIST_STRONG,"discover-esports-traders + detect-bot-wallet (LIKELY_HUMAN_OR_LOW_SIGNAL, score 0.0), 2 eventos de 20 escaneados, copy_verdict=A; net_esports=$18,022 (realizado+no-realizado)"
