status,label,wallet,vertical,input_notes,verdict,trades_downloaded,total_markets,total_volume,sports_trades,sports_markets,sports_volume,sports_trade_share,recent_trades_14d,recent_sports_14d,active_positions,active_value,active_sports_positions,active_sports_value,buy_count,sell_count,hit_trade_cap,bot_score,bot_verdict,likely_bot,system_notes
approved,Trader09,0xccd81fbd3395dc43a0531f8484b21c2462daf4de,sports,manual approved,WATCHLIST_STRONG,2947,2136,3237630.7198792787842424,619,170,1005885.0341797340986961,0.2100441126569392602646759416,862,354,6,16458.8606,4,4937.7426,2859,88,False,15,LIKELY_HUMAN_OR_LOW_SIGNAL,False,strong sports sample; high sports volume; recently active in sports; mostly buys; exits may be resolution-driven; has active sports exposure; large overall sample
approved,Trader05,0x6d3c5bd13984b2de47c3a88ddc455309aab3d294,sports,manual approved,WATCHLIST_STRONG,3000,1364,770907.5323308951477876,880,330,239451.720699936942,0.2933333333333333333333333333,3000,880,500,119605.6203,85,24495.1261,2086,914,True,15,LIKELY_HUMAN_OR_LOW_SIGNAL,False,strong sports sample; high sports volume; recently active in sports; has active sports exposure; large overall sample; hit trade download cap; true history is longer than sampled
approved,Trader03,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,sports,"whale/fund - $69M lifetime volume, buy-and-hold (no HFT). Use as directional signal, NOT copy position size 1:1 (scale down heavily). Also has large active losing positions - not infallible.",WATCHLIST,2778,1031,53661058.0882099553387079,1015,350,13162685.7554874130620104,0.3653707703383729301655867531,1001,458,464,9004441.2308,146,131749.9926,2771,7,False,0,LIKELY_HUMAN_OR_LOW_SIGNAL,False,strong sports sample; high sports volume; recently active in sports; mostly buys; exits may be resolution-driven; has active sports exposure; contains resolved/near-zero losing sports positions; large overall sample
approved,Trader01,0xdb859a551fcf56e49416160911476bea7307152f,sports,manual approved,WATCHLIST,261,184,5441559.1992422735977865,61,39,993989.2717201726610471,0.2337164750957854406130268199,75,28,341,4683.2998,116,4683.2998,244,17,False,15,LIKELY_HUMAN_OR_LOW_SIGNAL,False,high sports volume; recently active in sports; has active sports exposure; contains resolved/near-zero losing sports positions
approved,Trader02,0x1610db79f753a80207e1d66716be9e91e627ae49,sports,manual approved,WATCHLIST,1017,105,3871538.969848401324,197,12,742057.716906597842,0.1937069813176007866273352999,492,147,43,0,5,0,680,337,False,0,LIKELY_HUMAN_OR_LOW_SIGNAL,False,high sports volume; recently active in sports; has active sports exposure; contains resolved/near-zero losing sports positions; large overall sample
approved,Trader15,0x4df332e27f9ee3224f52ce30e3ce15c1075e788f,sports,manual approved,WATCHLIST,686,124,425797.801320294212,449,68,354049.215400280350,0.6545189504373177842565597668,372,218,500,3092.7493,386,0,682,4,False,0,LIKELY_HUMAN_OR_LOW_SIGNAL,False,strong sports sample; high sports volume; recently active in sports; mostly buys; exits may be resolution-driven; has active sports exposure; contains resolved/near-zero losing sports positions; large overall sample
approved,Trader22,0x9db82de5a71ae539bc82f4d9ac3a007c7d742eff,sports,manual approved,WATCHLIST,358,158,844285.1641209399560208,56,20,146171.6918358973270855,0.1564245810055865921787709497,136,45,0,0,0,0,254,104,False,0,LIKELY_HUMAN_OR_LOW_SIGNAL,False,high sports volume; recently active in sports
approved,Trader21,0xe548376f231af12b4d56aff55a7503a88892a9fe,sports,manual approved,WATCHLIST,115,70,807248.281049598261,14,8,131690.81429,0.1217391304347826086956521739,37,13,91,0,4,0,91,24,False,0,LIKELY_HUMAN_OR_LOW_SIGNAL,False,high sports volume; recently active in sports; has active sports exposure; contains resolved/near-zero losing sports positions
approved,Trader19,0xd1a850ad821b49e585edb0af3f2c7e6cb07a6427,sports,manual approved,WATCHLIST,3000,203,895566.7300833008223367,222,20,84186.3390775191965547,0.074,2961,222,99,0,6,0,2813,187,True,0,LIKELY_HUMAN_OR_LOW_SIGNAL,False,recently active in sports; has active sports exposure; contains resolved/near-zero losing sports positions; large overall sample; hit trade download cap; true history is longer than sampled
approved,Trader06,0xbc3107551d71e0fe3821b4ec4bb2767d313e971f,sports,manual approved,WATCHLIST,175,106,89375.3163980736839749,116,72,70503.6034541399082877,0.6628571428571428571428571429,83,50,57,5845.1968,36,3892.3283,97,78,False,0,LIKELY_HUMAN_OR_LOW_SIGNAL,False,strong sports sample; recently active in sports; has active sports exposure; contains resolved/near-zero losing sports positions
approved,Trader17,0x10ff6cd4b1b5669d4ca87faebae0c869ad315088,sports,manual approved,WATCHLIST,3000,54,1839594.974304738745,78,10,46625.744030140050,0.026,3000,78,11,4977.1904,4,0,2093,907,True,0,LIKELY_HUMAN_OR_LOW_SIGNAL,False,recently active in sports; has active sports exposure; contains resolved/near-zero losing sports positions; large overall sample; hit trade download cap; true history is longer than sampled
approved,Trader10,0x5e3040eb55cb0f4f86eb0af40cb84c9d3585acbf,sports,manual approved,WATCHLIST,1044,756,240035.887480123791,252,213,41754.004360050087,0.2413793103448275862068965517,478,141,500,10225.6062,108,1922.9702,1044,0,False,40,POSSIBLE_BOT,False,"strong sports sample; recently active in sports; mostly buys; exits may be resolution-driven; has active sports exposure; contains resolved/near-zero losing sports positions; large overall sample; bot_detection=POSSIBLE_BOT (score 40): buy-only pattern, very high market churn"
approved,Trader04,0x85bbb00a84f100a74ec6a479ce6f8f45b04c9ada,sports,manual approved,PAPER_ONLY,483,265,3238432.8637444862821956,86,42,435609.8316227771591884,0.1780538302277432712215320911,182,54,249,0,29,0,462,21,False,50,POSSIBLE_BOT,False,"high sports volume; recently active in sports; mostly buys; exits may be resolution-driven; has active sports exposure; contains resolved/near-zero losing sports positions; bot_detection=POSSIBLE_BOT (score 50): 20+ trades in 1h, 50+ trades in 6h"
approved,Trader20,0x60ec17443af511a21945f01430e61c803465f7b0,sports,manual approved,PAPER_ONLY,3000,762,691387.7967941936632502,191,37,50509.0212531247539321,0.06366666666666666666666666667,3000,191,500,10606.3113,86,843.8963,2930,70,True,35,LIKELY_HUMAN_OR_LOW_SIGNAL,False,recently active in sports; mostly buys; exits may be resolution-driven; has active sports exposure; contains resolved/near-zero losing sports positions; large overall sample; hit trade download cap; true history is longer than sampled
approved,Trader11,0xf10299cf1fff507cff45e1a906800e5b44bf1348,sports,manual approved,PAPER_ONLY,83,75,6757.38369,42,40,5474.51358,0.5060240963855421686746987952,30,16,16,766.0280,6,506.8986,83,0,False,15,LIKELY_HUMAN_OR_LOW_SIGNAL,False,recently active in sports; mostly buys; exits may be resolution-driven; has active sports exposure
paper_only,RN1_possible_bot,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,sports,"possible bot, paper only until delay/slippage is tested",REJECT,3000,690,1058519.3986183453486832,454,153,150844.617497965440216,0.1513333333333333333333333333,3000,454,500,256001.3987,104,26511.9437,3000,0,True,90,LIKELY_BOT,True,"strong sports sample; high sports volume; recently active in sports; mostly buys; exits may be resolution-driven; has active sports exposure; contains resolved/near-zero losing sports positions; large overall sample; bot_detection=LIKELY_BOT (score 90): 20+ trades in 1h, 50+ trades in 6h, 100+ trades in 24h, buy-only pattern; hit trade download cap; true history is longer than sampled"
approved,Trader16,0x191f77486cb1c5af42e54734621804936a204a8d,sports,manual approved,REJECT,79,42,77653.018799895761,13,10,17720.1214,0.1645569620253164556962025316,62,5,485,19810.6298,52,0,79,0,False,0,LIKELY_HUMAN_OR_LOW_SIGNAL,False,mostly buys; exits may be resolution-driven; has active sports exposure; contains resolved/near-zero losing sports positions
approved,Trader23,0x224f7ef690d952cf551a471846d5afb4892e514a,sports,manual approved,REJECT,71,63,25846.6742097592,13,13,1481.435099996,0.1830985915492957746478873239,17,3,500,5171.8120,69,0,71,0,False,40,POSSIBLE_BOT,False,"mostly buys; exits may be resolution-driven; has active sports exposure; contains resolved/near-zero losing sports positions; bot_detection=POSSIBLE_BOT (score 40): buy-only pattern, very high market churn"
